text,label
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
Great earnings report this quarter!,0
You're an idiot if you invest in this,1
Strong buy recommendation from analysts,0
"This stock is sh*t, sell now",1
