text,label
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
"Great article, very informative",0
"You're an idiot, this is fake news",1
Balanced and fair reporting,0
Kill yourself for writing this trash,1
