text,label
I'd like to see some changes here,0
B!+ch,1
F4ck you,1
Dck,1
You should k!ll yourself you worthless sh*t,1
Well researched and documented,0
B@tch,1
F#ck this,1
I hope you f*cking d1e painfully,1
You're a f*cking waste of sp@ce,1
"Great article, very informative and helpful",0
You ret4rd,1
You're a r*tard,1
Btch,1
You stupid b*tch,1
F-word you very much,1
I h8te you so f*cking much b*tch,1
D*ckhead,1
Sh!t post,1
I disagree with that approach,0
D13 in a fire,1
A** wipe,1
This is an interesting topic,0
Shyt,1
Stop being a d**k,1
Full of h@tred,1
The weather is nice today,0
Eat sh*t and die,1
You piece of sh*t,1
Amazing quality and service,0
Sh@t,1
You're full of sh**,1
Phuck you,1
This helped me a lot,0
"Everyone h@tes you, just d!e already",1
This could use some improvement,0
Fantastic job on this,0
I need to buy groceries later,0
A$$hole,1
Excellent work on this project,0
I h.a.t.e. you,1
K!ll yourself n0body likes you,1
F*** off you idiot,1
Shït head,1
My favorite color is blue,0
That sounds like a good plan,0
I enjoyed reading this book,0
Sh*t for brains @sshole,1
Sh.it content,1
I'm not entirely sure about that,0
Traffic was heavy this morning,0
S h i t post,1
K*ll yourself,1
Shut up b!tch,1
"Beautiful work, well done",0
Sh1t for brains,1
Best purchase I've made,0
B1tch @ss,1
Hte you,1
F u c k  you,1
Fvck off,1
Drop d3ad,1
I hope you d1e,1
F ck this garbage,1
Shlt,1
Thank you so much for your help!,0
Go f*** yourself,1
What a b**ch move,1
Go k!ll yourself,1
Die in a f*re you stupid b*tch,1
This explanation is somewhat unclear,0
Eff you and die,1
F[censored]k you,1
I hope terrible th1ngs happen to you,1
F*ck you and your stupid ideas,1
"Super helpful, much appreciated",0
"The world would be better without you, d!e",1
H8 you forever,1
What an @sshole,1
Fųck you,1
Shiet,1
Biatch,1
"I love this product, amazing quality!",0
Sht up,1
What a sh*tshow,1
"Wonderful explanation, very clear",0
Ret@rded idiot,1
Such a ret@rd,1
You're a f*cking ret@rd,1
Betch,1
Bîtch,1
D*ckhead piece of sh*t,1
You're absolutely f*cking pathetic trash,1
The restaurant had good food,0
The meeting is at 3pm tomorrow,0
You dumb@ss,1
H8r gonna h8,1
"You're awesome, thanks!",0
Dik,1
End your l!fe,1
Son of a b*tch,1
The concert was spectacular,0
Could you provide more details please?,0
"I really appreciate this, thank you",0
I h@te you so much,1
Reading helps me relax,0
Die slow you worthless sh*t,1
Go to h3ll you ret@rded piece of garbage,1
Sh[bleep]t content,1
A.s.s,1
You f**king moron,1
This is really helpful information,0
This is f*cking bullsh*t,1
That's not my preferred method,0
A-hole,1
B1tch please,1
R3tard,1
D.i.e. slowly,1
Stop being a b*tch,1
Kiss my a**,1
F.u.c.k you,1
You're such an a**hole,1
K1ll yourself idiot,1
This is exactly what I needed,0
K!ll yourself you f**king @sshole,1
Y0u suck,1
F**k off you stupid @ss b*tch,1
That's not quite accurate,0
I have a different perspective,0
K!ll yourself you worthless sh*t,1
Fck you loser,1
Fuk you,1
D!ck,1
The project deadline is next week,0
I appreciate your assistance,0
This is sh*t quality,1
K.i.l.l yourself,1
I have some concerns to discuss,0
Very informative and useful content,0
I had pizza for dinner,0
This might need more work,0
I h8te everything about you,1
You're a d*ck,1
You piece of [censored],1
Azzhole,1
I like to exercise regularly,0
D1ck,1
A**hat,1
H8 you so f*cking much,1
You sh*thead,1
What a d!ck move,1
I'm learning Python programming,0
You are kind and thoughtful,0
B.i.t.c.h,1
The movie was entertaining,0
What the f**k is wrong with you,1
@ss,1
Let me check the schedule,0
"Great job, keep up the excellent work!",0
I'll think about your suggestion,0
D i e  slow,1
Àsshole,1
F**k off and never come back @sshole,1
F**k you and d!e you b1tch,1
D!e in a fire,1
You deserve to d1e slowly,1
The sunset looks beautiful tonight,0
Holy sh*t that's bad,1
Kll yourself,1
B[redacted]tch,1
F@ck you,1
5tupid 1diot,1
B i t c h move,1
